date,windAvg,pressureMax,numberOfSamples
20120805,44.19911299,604.45,20
20120806,48.05435535,505.4285714,14
20120807,42.16368961,598.7,10
20120808,41.75941803,717.7619048,21
20120809,46.46461668,425.7368421,19
20120810,42.59948305,775.1538462,13
20120811,49.71603696,415.4117647,17
20120812,52.84280237,582.4166667,12
20120813,40.29094966,501.75,12
20120814,44.25718297,501.3888889,18
20120815,44.84475769,549.9090909,22
20120816,48.56872808,771.6153846,13
20120817,43.69278584,528.2608696,23
20120818,40.53554022,501.5,16
20120819,46.02903452,554.5,20
20120820,51.58147577,686.9230769,13
20120821,46.2688723,391.826087,23
20120822,47.77654266,579.4736842,19
20120823,51.50624984,711.1428571,21
20120824,48.30992616,612.3913043,23
20120825,55.63335934,602.1,20
20120826,50.30325198,311.3125,16
20120827,53.11600858,622,21
20120828,47.71783958,618.8529412,34
20120829,48.38967602,540.4230769,26
20120830,56.00464136,545.1818182,22
20120831,45.14599182,523.08,25
20120901,46.80098983,640.4285714,28
20120902,48.05910203,553.137931,29
20120903,49.10601504,623.5172414,29
20120904,45.78371479,743.4074074,27
20120905,50.07165138,752.0416667,24
20120906,50.68343459,581.2894737,38
20120907,47.83809229,501.9230769,26
20120908,45.61521095,441.625,32
20120909,49.75615205,478.8888889,27
20120910,52.65170791,585.9166667,36
20120911,51.25855364,484.6857143,35
20120912,54.90790054,679.25,28
20120913,55.82481949,538.2307692,26
20120914,51.09791399,549.9032258,31
20120915,48.9430236,667.625,24
20120916,57.86815347,721.6206897,29
20120917,56.29663748,497.4117647,34
20120918,58.85355158,545.8,20
20120919,46.32422791,604.2333333,30
20120920,54.85239138,600.3428571,35
20120921,46.69735381,681,34
20120922,52.0863996,653.137931,29
20120923,49.2831218,456.7727273,22
20120924,51.57908188,482.88,25
20120925,48.61975187,567.3666667,30
20120926,52.15196927,632.4814815,27
20120927,44.67759415,420.3548387,31
20120928,54.3082913,237.1428571,21
20120929,44.63555058,504.3333333,24
20120930,50.36225363,591,39
20121001,52.38660776,653.1923077,26
20121002,51.99946395,637.5909091,22
20121003,46.97833824,480.5238095,21
20121004,48.31872075,644.5357143,28
20121005,50.02232504,606.3571429,28
20121006,48.48904762,548.95,20
20121007,49.40052708,375.125,24
20121008,48.39284503,595.6666667,15
20121009,50.2991588,632.1578947,19
20121010,54.56209612,627.4375,16
20121011,49.15954581,573.7619048,21
20121012,53.22236663,528.5263158,19
20121013,53.02527883,884.8333333,18
20121014,39.86143939,388.6666667,18
20121015,48.60205095,564.5652174,23
20121016,49.13683292,571.8571429,21
20121017,44.37800035,477.3333333,21
20121018,47.98448828,391.5555556,18
20121019,49.81680279,498.05,20
20121020,56.15171301,372.25,16
20121021,46.37699318,635.4210526,19
20121022,54.94209938,401.3333333,15
20121023,57.87867864,459.5333333,15
20121024,54.74090996,398.7,10
20121025,46.55065651,698.6,10
20121026,50.45908647,652.0588235,17
20121027,39.68215084,754,8
20121028,46.49890804,401.7,10
20121029,42.92313907,526.6842105,19
20121030,52.37441036,642.5,14
20121031,48.73305199,724,11
20121101,55.61146337,640.8181818,11
20121102,35.15867424,756.5,4
20121103,45.05186168,548.5454545,11
20121104,42.96340656,167.8333333,6
20121105,36.57407475,501.6666667,6
20121106,48.09441291,445.4444444,9
20121107,45.96416964,712.8571429,7
20121108,47.16861289,713.8571429,7
20121109,58.90533574,670.3333333,3
20121110,41.21731228,446.5555556,9
20121111,44.09109077,602,5
20121112,44.15901113,251.375,8
20121113,60.30303192,1004,1
20121114,55.17906888,490.6666667,6
20121115,39.23611069,0,2
20121116,37.08254013,604.4,5
20121117,47.625,502,2
20121118,31.33333333,0,3
20121119,0,0,0
20121120,53.91891861,996,2
20121121,50.13428624,826.6666667,6
20121122,39.23659611,1006.5,2
20121123,52.91459084,754.5,4
20121124,0,0,0
20121125,46.72565133,142.8571429,7
20121126,43.59127235,1006.5,4
20121127,0,0,0
20121128,46.5,495,2
20121129,38.4166673,673,3
20121130,46.65119076,248,4
20121201,23.33333397,0,1
20121202,56.47618993,336.6666667,3
20121203,0,0,0
20121204,46.4450353,671,3
20121205,39.92521477,997,2
20121206,67.5806427,0,1
20121207,46.52644157,501.5,2
20121208,0,0,0
20121209,41.94556713,503.75,4
20121210,54.23077011,0,1
20121211,39.33333206,1009,1
20121212,50.53743935,0,2
20121213,40,1008,1
20121214,0,0,0
20121215,0,0,0
20121216,38,504.5,2
20121217,0,0,0
20121218,0,0,0
20121219,0,0,0
20121220,0,0,0
20121221,0,0,0
20121222,54.18154716,504,2
20121223,0,0,0
20121224,57.04081726,1012,1
20121225,0,0,0
20121226,0,0,0
20121227,0,0,0
20121228,0,0,0
20121229,0,0,0
20121230,0,0,0
20121231,0,0,0
